Ticker,Market_Cap,Quality_Score,Tier,Red_Flags,Gross_Profitability,ROE,ROIC,FCF_Yield,Operating_Profitability
TDC,2.49B,100.0,Elite,1,0.000,0.000,0.000,0.000,0.000
IT,17.18B,100.0,Elite,1,0.000,0.000,0.000,0.000,0.000
ALKS,4.90B,100.0,Elite,0,0.000,0.000,0.000,0.000,0.000
KTB,3.93B,100.0,Elite,0,0.000,0.000,0.000,0.000,0.000
DECK,11.97B,100.0,Elite,0,0.000,0.000,0.000,0.000,0.000
CALM,4.27B,100.0,Elite,0,0.000,0.000,0.000,0.000,0.000
LULU,19.62B,100.0,Elite,0,0.000,0.000,0.000,0.000,0.000
BBY,15.76B,100.0,Elite,0,0.000,0.000,0.000,0.000,0.000
QCOM,179.92B,98.7,Elite,0,0.000,0.000,0.000,0.000,0.000
BKE,2.84B,98.5,Elite,0,0.000,0.000,0.000,0.000,0.000
POOL,8.96B,97.5,Elite,0,0.000,0.000,0.000,0.000,0.000
KMB,34.79B,97.4,Elite,1,0.000,0.000,0.000,0.000,0.000
CPRX,2.82B,97.3,Elite,0,0.000,0.000,0.000,0.000,0.000
CLX,12.53B,97.1,Elite,1,0.000,0.000,0.000,0.000,0.000
BLDR,11.25B,96.8,Elite,0,0.000,0.000,0.000,0.000,0.000
FTDR,3.62B,96.6,Elite,1,0.000,0.000,0.000,0.000,0.000
ADBE,139.35B,96.5,Elite,0,0.000,0.000,0.000,0.000,0.000
CL,63.83B,96.3,Elite,1,0.000,0.000,0.000,0.000,0.000
FIZZ,3.08B,96.3,Elite,0,0.000,0.000,0.000,0.000,0.000
MRK,233.52B,96.2,Elite,0,0.000,0.000,0.000,0.000,0.000
GFF,3.14B,96.0,Elite,1,0.000,0.000,0.000,0.000,0.000
AOS,9.03B,95.8,Elite,0,0.000,0.000,0.000,0.000,0.000
WSM,22.18B,95.7,Elite,0,0.000,0.000,0.000,0.000,0.000
DFIN,1.25B,95.7,Elite,0,0.000,0.000,0.000,0.000,0.000
HRMY,1.97B,95.7,Elite,0,0.000,0.000,0.000,0.000,0.000
TGT,40.32B,95.6,Elite,0,0.000,0.000,0.000,0.000,0.000
NVR,19.87B,95.6,Elite,0,0.000,0.000,0.000,0.000,0.000
NTAP,21.37B,95.2,Elite,1,0.000,0.000,0.000,0.000,0.000
LII,16.18B,95.1,Elite,0,0.000,0.000,0.000,0.000,0.000
HD,359.38B,94.5,Elite,1,0.000,0.000,0.000,0.000,0.000
SBH,1.42B,94.2,Elite,0,0.000,0.000,0.000,0.000,0.000
ZTS,52.76B,94.0,Elite,0,0.000,0.000,0.000,0.000,0.000
IPAR,2.73B,93.9,Elite,0,0.000,0.000,0.000,0.000,0.000
ULTA,23.08B,93.7,Elite,0,0.000,0.000,0.000,0.000,0.000
ITW,70.48B,93.3,Elite,1,0.000,0.000,0.000,0.000,0.000
YOU,4.78B,93.2,Elite,0,0.000,0.000,0.000,0.000,0.000
RL,19.79B,92.7,Elite,0,0.000,0.000,0.000,0.000,0.000
VSCO,2.83B,92.4,Elite,1,0.000,0.000,0.000,0.000,0.000
META,1517.38B,92.3,Elite,0,0.000,0.000,0.000,0.000,0.000
HSY,36.45B,92.3,Elite,0,0.000,0.000,0.000,0.000,0.000
GWW,44.17B,92.2,Elite,0,0.000,0.000,0.000,0.000,0.000
EAT,5.35B,92.1,Elite,1,0.000,0.000,0.000,0.000,0.000
SLVM,1.84B,92.0,Elite,0,0.000,0.000,0.000,0.000,0.000
TPR,21.06B,91.9,Elite,1,0.000,0.000,0.000,0.000,0.000
VLTO,24.39B,91.7,Elite,0,0.000,0.000,0.000,0.000,0.000
IBP,6.66B,91.7,Elite,0,0.000,0.000,0.000,0.000,0.000
SHOO,2.69B,91.5,Elite,0,0.000,0.000,0.000,0.000,0.000
WDFC,2.67B,91.3,Elite,0,0.000,0.000,0.000,0.000,0.000
CRI,1.12B,91.3,Elite,0,0.000,0.000,0.000,0.000,0.000
SYY,36.13B,91.2,Elite,1,0.000,0.000,0.000,0.000,0.000
VRSK,30.62B,91.0,Elite,1,0.000,0.000,0.000,0.000,0.000
FTNT,63.00B,91.0,Elite,0,0.000,0.000,0.000,0.000,0.000
ADMA,3.68B,90.9,Elite,0,0.000,0.000,0.000,0.000,0.000
ABNB,72.00B,90.5,Elite,0,0.000,0.000,0.000,0.000,0.000
MA,488.23B,90.2,Elite,1,0.000,0.000,0.000,0.000,0.000
TJX,162.12B,90.1,Elite,0,0.000,0.000,0.000,0.000,0.000
HAS,10.81B,90.0,Elite,1,0.000,0.000,0.000,0.000,0.000
PEP,202.46B,90.0,Elite,1,0.000,0.000,0.000,0.000,0.000
GOLF,4.65B,89.9,Elite,0,0.000,0.000,0.000,0.000,0.000
KLAC,148.22B,89.9,Elite,0,0.000,0.000,0.000,0.000,0.000
AAPL,3969.21B,89.8,Elite,0,0.000,0.000,0.000,0.000,0.000
NFLX,46.62B,89.6,Elite,0,0.000,0.000,0.000,0.000,0.000
CTAS,74.30B,89.6,Elite,0,0.000,0.000,0.000,0.000,0.000
MNST,70.56B,89.4,Elite,0,0.000,0.000,0.000,0.000,0.000
SHW,81.48B,89.2,Elite,1,0.000,0.000,0.000,0.000,0.000
GOOG,3477.77B,89.0,Elite,0,0.000,0.000,0.000,0.000,0.000
GOOGL,3482.27B,89.0,Elite,0,0.000,0.000,0.000,0.000,0.000
ROL,28.14B,88.9,Elite,0,0.000,0.000,0.000,0.000,0.000
FAST,46.28B,88.8,Elite,0,0.000,0.000,0.000,0.000,0.000
COST,405.21B,88.6,Elite,0,0.000,0.000,0.000,0.000,0.000
ACN,151.28B,88.5,Elite,0,0.000,0.000,0.000,0.000,0.000
LRN,2.75B,88.4,Elite,0,0.000,0.000,0.000,0.000,0.000
APAM,2.90B,88.3,Elite,0,0.000,0.000,0.000,0.000,0.000
YELP,1.75B,88.2,Elite,0,0.000,0.000,0.000,0.000,0.000
LRCX,185.54B,88.2,Elite,0,0.000,0.000,0.000,0.000,0.000
RHI,2.66B,87.9,Elite,0,0.000,0.000,0.000,0.000,0.000
GDDY,17.70B,87.8,Elite,1,0.000,0.000,0.000,0.000,0.000
AEO,3.05B,87.8,Elite,0,0.000,0.000,0.000,0.000,0.000
EXPE,30.21B,87.7,Elite,1,0.000,0.000,0.000,0.000,0.000
CAKE,2.20B,87.6,Elite,1,0.000,0.000,0.000,0.000,0.000
IDXX,54.36B,87.5,Elite,0,0.000,0.000,0.000,0.000,0.000
NVDA,4534.87B,87.3,Elite,0,0.000,0.000,0.000,0.000,0.000
KR,43.75B,86.9,Elite,1,0.000,0.000,0.000,0.000,0.000
APP,180.85B,86.9,Elite,1,0.000,0.000,0.000,0.000,0.000
EME,27.65B,86.8,Elite,0,0.000,0.000,0.000,0.000,0.000
AMAT,181.10B,86.8,Elite,0,0.000,0.000,0.000,0.000,0.000
ASO,2.92B,86.8,Elite,0,0.000,0.000,0.000,0.000,0.000
NKE,92.98B,86.7,Elite,0,0.000,0.000,0.000,0.000,0.000
XPEL,1.11B,86.4,Elite,0,0.000,0.000,0.000,0.000,0.000
TSCO,28.36B,86.3,Elite,1,0.000,0.000,0.000,0.000,0.000
HNI,1.78B,86.3,Elite,0,0.000,0.000,0.000,0.000,0.000
CSGS,2.23B,86.1,Elite,1,0.000,0.000,0.000,0.000,0.000
EOG,60.43B,85.9,Elite,0,0.000,0.000,0.000,0.000,0.000
RMD,35.78B,85.9,Elite,0,0.000,0.000,0.000,0.000,0.000
ATEN,1.22B,85.8,Elite,0,0.000,0.000,0.000,0.000,0.000
CNK,3.48B,85.8,Elite,1,0.000,0.000,0.000,0.000,0.000
PBI,1.55B,85.7,Elite,0,0.000,0.000,0.000,0.000,0.000
TPL,22.33B,85.4,Elite,0,0.000,0.000,0.000,0.000,0.000
MSI,62.67B,85.4,Elite,1,0.000,0.000,0.000,0.000,0.000
ALLE,13.74B,85.3,Elite,0,0.000,0.000,0.000,0.000,0.000
ROST,52.14B,85.2,Elite,0,0.000,0.000,0.000,0.000,0.000
LLY,915.91B,85.1,Elite,1,0.000,0.000,0.000,0.000,0.000
PHM,22.47B,85.0,Strong,0,0.000,0.000,0.000,0.000,0.000
PJT,6.31B,84.9,Strong,0,0.000,0.000,0.000,0.000,0.000
CNR,4.10B,84.6,Strong,0,0.000,0.000,0.000,0.000,0.000
PRDO,1.96B,84.6,Strong,0,0.000,0.000,0.000,0.000,0.000
EBAY,37.60B,84.2,Strong,0,0.000,0.000,0.000,0.000,0.000
MOH,7.53B,84.2,Strong,0,0.000,0.000,0.000,0.000,0.000
ODFL,27.52B,84.2,Strong,0,0.000,0.000,0.000,0.000,0.000
UPBD,0.97B,84.0,Strong,1,0.000,0.000,0.000,0.000,0.000
WAT,22.69B,83.9,Strong,0,0.000,0.000,0.000,0.000,0.000
CRVL,3.77B,83.8,Strong,0,0.000,0.000,0.000,0.000,0.000
BCC,2.51B,83.6,Strong,0,0.000,0.000,0.000,0.000,0.000
TILE,1.51B,83.6,Strong,0,0.000,0.000,0.000,0.000,0.000
IDCC,8.90B,83.3,Strong,0,0.000,0.000,0.000,0.000,0.000
MC,4.54B,83.3,Strong,0,0.000,0.000,0.000,0.000,0.000
BOX,4.54B,83.2,Strong,1,0.000,0.000,0.000,0.000,0.000
PG,342.59B,83.0,Strong,0,0.000,0.000,0.000,0.000,0.000
GPC,17.61B,82.6,Strong,0,0.000,0.000,0.000,0.000,0.000
CDW,18.38B,82.5,Strong,1,0.000,0.000,0.000,0.000,0.000
EPAC,2.05B,82.5,Strong,0,0.000,0.000,0.000,0.000,0.000
ADSK,62.51B,82.5,Strong,0,0.000,0.000,0.000,0.000,0.000
TT,91.79B,82.2,Strong,0,0.000,0.000,0.000,0.000,0.000
OXM,0.50B,81.9,Strong,0,0.000,0.000,0.000,0.000,0.000
WWW,1.21B,81.8,Strong,1,0.000,0.000,0.000,0.000,0.000
BMI,5.14B,81.6,Strong,0,0.000,0.000,0.000,0.000,0.000
UHS,14.48B,81.5,Strong,0,0.000,0.000,0.000,0.000,0.000
AAMI,1.52B,81.2,Strong,1,0.000,0.000,0.000,0.000,0.000
WMT,820.79B,81.0,Strong,0,0.000,0.000,0.000,0.000,0.000
CMG,41.47B,80.9,Strong,0,0.000,0.000,0.000,0.000,0.000
PODD,23.31B,80.7,Strong,0,0.000,0.000,0.000,0.000,0.000
OGN,1.99B,80.5,Strong,1,0.000,0.000,0.000,0.000,0.000
V,636.35B,80.4,Strong,0,0.000,0.000,0.000,0.000,0.000
MCO,84.95B,80.3,Strong,1,0.000,0.000,0.000,0.000,0.000
AVY,13.26B,80.2,Strong,0,0.000,0.000,0.000,0.000,0.000
GIII,1.17B,79.8,Strong,0,0.000,0.000,0.000,0.000,0.000
FDS,10.14B,79.7,Strong,0,0.000,0.000,0.000,0.000,0.000
URBN,5.42B,79.4,Strong,0,0.000,0.000,0.000,0.000,0.000
BRC,3.49B,79.3,Strong,0,0.000,0.000,0.000,0.000,0.000
ROK,41.61B,79.2,Strong,0,0.000,0.000,0.000,0.000,0.000
SNA,17.29B,79.1,Strong,0,0.000,0.000,0.000,0.000,0.000
CNS,3.09B,78.9,Strong,0,0.000,0.000,0.000,0.000,0.000
ATGE,3.44B,78.8,Strong,0,0.000,0.000,0.000,0.000,0.000
EA,50.15B,78.6,Strong,0,0.000,0.000,0.000,0.000,0.000
TER,26.92B,78.6,Strong,0,0.000,0.000,0.000,0.000,0.000
AMZN,2462.06B,78.5,Strong,0,0.000,0.000,0.000,0.000,0.000
DXPE,1.36B,78.2,Strong,0,0.000,0.000,0.000,0.000,0.000
PGNY,2.28B,77.8,Strong,0,0.000,0.000,0.000,0.000,0.000
DXCM,23.00B,77.8,Strong,0,0.000,0.000,0.000,0.000,0.000
ANET,158.41B,77.8,Strong,0,0.000,0.000,0.000,0.000,0.000
UPS,79.91B,77.6,Strong,0,0.000,0.000,0.000,0.000,0.000
JKHY,11.92B,77.6,Strong,0,0.000,0.000,0.000,0.000,0.000
LQDT,0.71B,77.5,Strong,0,0.000,0.000,0.000,0.000,0.000
ALGN,9.76B,77.5,Strong,0,0.000,0.000,0.000,0.000,0.000
ACLS,2.55B,77.3,Strong,0,0.000,0.000,0.000,0.000,0.000
EXPD,19.30B,77.2,Strong,0,0.000,0.000,0.000,0.000,0.000
DVA,8.48B,77.1,Strong,1,0.000,0.000,0.000,0.000,0.000
TNC,1.31B,76.9,Strong,0,0.000,0.000,0.000,0.000,0.000
CDNS,84.82B,76.7,Strong,0,0.000,0.000,0.000,0.000,0.000
ETD,0.57B,76.5,Strong,0,0.000,0.000,0.000,0.000,0.000
ACAD,4.09B,76.4,Strong,0,0.000,0.000,0.000,0.000,0.000
VCTR,4.18B,76.3,Strong,0,0.000,0.000,0.000,0.000,0.000
MSFT,3772.26B,76.2,Strong,0,0.000,0.000,0.000,0.000,0.000
POWL,3.75B,76.0,Strong,0,0.000,0.000,0.000,0.000,0.000
MCRI,1.75B,75.9,Strong,0,0.000,0.000,0.000,0.000,0.000
GRMN,36.74B,75.8,Strong,0,0.000,0.000,0.000,0.000,0.000
SEE,6.18B,75.8,Strong,1,0.000,0.000,0.000,0.000,0.000
LZB,1.23B,75.5,Strong,0,0.000,0.000,0.000,0.000,0.000
K,28.99B,75.5,Strong,0,0.000,0.000,0.000,0.000,0.000
CORT,7.99B,75.2,Strong,0,0.000,0.000,0.000,0.000,0.000
INTU,180.19B,75.2,Strong,0,0.000,0.000,0.000,0.000,0.000
ENR,1.72B,75.1,Strong,1,0.000,0.000,0.000,0.000,0.000
NXPI,48.31B,75.1,Strong,0,0.000,0.000,0.000,0.000,0.000
AWI,7.89B,74.9,Strong,0,0.000,0.000,0.000,0.000,0.000
FELE,4.12B,74.8,Strong,0,0.000,0.000,0.000,0.000,0.000
TROW,21.93B,74.8,Strong,0,0.000,0.000,0.000,0.000,0.000
NRG,32.09B,74.6,Strong,1,0.000,0.000,0.000,0.000,0.000
HUBB,22.68B,74.5,Strong,0,0.000,0.000,0.000,0.000,0.000
UBER,189.32B,74.4,Strong,0,0.000,0.000,0.000,0.000,0.000
PI,4.25B,74.4,Strong,0,0.000,0.000,0.000,0.000,0.000
MTCH,7.63B,74.2,Strong,1,0.000,0.000,0.000,0.000,0.000
WLY,1.84B,74.1,Strong,0,0.000,0.000,0.000,0.000,0.000
ETSY,5.38B,74.1,Strong,1,0.000,0.000,0.000,0.000,0.000
CAT,259.10B,74.0,Strong,0,0.000,0.000,0.000,0.000,0.000
MAS,12.60B,73.8,Strong,1,0.000,0.000,0.000,0.000,0.000
