Ticker,Quality_Score,Tier,Red_Flags,Gross_Profitability,ROE,ROIC,FCF_Yield,Operating_Profitability
CALM,100.0,Elite,0,0.000,0.000,0.000,0.000,0.000
IT,100.0,Elite,1,0.000,0.000,0.000,0.000,0.000
TDC,100.0,Elite,1,0.000,0.000,0.000,0.000,0.000
KTB,100.0,Elite,0,0.000,0.000,0.000,0.000,0.000
BBY,100.0,Elite,0,0.000,0.000,0.000,0.000,0.000
LULU,99.8,Elite,0,0.000,0.000,0.000,0.000,0.000
DECK,99.8,Elite,0,0.000,0.000,0.000,0.000,0.000
ALKS,99.6,Elite,0,0.000,0.000,0.000,0.000,0.000
BKE,98.4,Elite,0,0.000,0.000,0.000,0.000,0.000
QCOM,98.3,Elite,0,0.000,0.000,0.000,0.000,0.000
KMB,97.4,Elite,1,0.000,0.000,0.000,0.000,0.000
CPRX,97.3,Elite,0,0.000,0.000,0.000,0.000,0.000
POOL,97.1,Elite,0,0.000,0.000,0.000,0.000,0.000
CLX,96.9,Elite,1,0.000,0.000,0.000,0.000,0.000
BLDR,96.8,Elite,0,0.000,0.000,0.000,0.000,0.000
ADBE,96.5,Elite,0,0.000,0.000,0.000,0.000,0.000
FTDR,96.4,Elite,1,0.000,0.000,0.000,0.000,0.000
CL,96.3,Elite,1,0.000,0.000,0.000,0.000,0.000
FIZZ,96.3,Elite,0,0.000,0.000,0.000,0.000,0.000
MRK,96.3,Elite,0,0.000,0.000,0.000,0.000,0.000
GFF,96.0,Elite,1,0.000,0.000,0.000,0.000,0.000
DFIN,95.7,Elite,0,0.000,0.000,0.000,0.000,0.000
HRMY,95.7,Elite,0,0.000,0.000,0.000,0.000,0.000
TGT,95.6,Elite,0,0.000,0.000,0.000,0.000,0.000
NVR,95.6,Elite,0,0.000,0.000,0.000,0.000,0.000
AOS,95.6,Elite,0,0.000,0.000,0.000,0.000,0.000
WSM,95.4,Elite,0,0.000,0.000,0.000,0.000,0.000
NTAP,95.0,Elite,1,0.000,0.000,0.000,0.000,0.000
LII,94.6,Elite,0,0.000,0.000,0.000,0.000,0.000
HD,94.2,Elite,1,0.000,0.000,0.000,0.000,0.000
ZTS,93.9,Elite,0,0.000,0.000,0.000,0.000,0.000
IPAR,93.7,Elite,0,0.000,0.000,0.000,0.000,0.000
SBH,93.4,Elite,1,0.000,0.000,0.000,0.000,0.000
ULTA,93.2,Elite,0,0.000,0.000,0.000,0.000,0.000
ITW,93.2,Elite,1,0.000,0.000,0.000,0.000,0.000
YOU,92.7,Elite,0,0.000,0.000,0.000,0.000,0.000
RL,92.5,Elite,0,0.000,0.000,0.000,0.000,0.000
VSCO,92.4,Elite,1,0.000,0.000,0.000,0.000,0.000
EAT,92.4,Elite,1,0.000,0.000,0.000,0.000,0.000
HSY,92.3,Elite,0,0.000,0.000,0.000,0.000,0.000
META,92.2,Elite,0,0.000,0.000,0.000,0.000,0.000
TPR,92.1,Elite,1,0.000,0.000,0.000,0.000,0.000
GWW,92.1,Elite,0,0.000,0.000,0.000,0.000,0.000
SLVM,92.0,Elite,0,0.000,0.000,0.000,0.000,0.000
VLTO,91.7,Elite,0,0.000,0.000,0.000,0.000,0.000
CRI,91.3,Elite,0,0.000,0.000,0.000,0.000,0.000
SHOO,91.2,Elite,0,0.000,0.000,0.000,0.000,0.000
