Ticker,Market_Cap,Quality_Score,Tier,Red_Flags,Gross_Profitability,ROE,ROIC,FCF_Yield,Operating_Profitability
LULU,20.30B,99.7,Elite,0,0.000,0.000,0.000,0.000,0.000
CPRX,2.85B,97.3,Elite,0,0.000,0.000,0.000,0.000,0.000
CLX,12.63B,97.0,Elite,1,0.000,0.000,0.000,0.000,0.000
BLDR,11.50B,96.8,Elite,0,0.000,0.000,0.000,0.000,0.000
CL,62.94B,96.5,Elite,1,0.000,0.000,0.000,0.000,0.000
GFF,3.28B,96.0,Elite,1,0.000,0.000,0.000,0.000,0.000
NVR,19.80B,95.7,Elite,0,0.000,0.000,0.000,0.000,0.000
DFIN,1.22B,95.7,Elite,0,0.000,0.000,0.000,0.000,0.000
HRMY,1.95B,95.7,Elite,0,0.000,0.000,0.000,0.000,0.000
NTAP,22.01B,95.0,Elite,1,0.000,0.000,0.000,0.000,0.000
VSCO,2.86B,92.4,Elite,1,0.000,0.000,0.000,0.000,0.000
META,1539.49B,92.2,Elite,0,0.000,0.000,0.000,0.000,0.000
TPR,20.79B,92.0,Elite,1,0.000,0.000,0.000,0.000,0.000
IBP,6.77B,91.5,Elite,0,0.000,0.000,0.000,0.000,0.000
WDFC,2.69B,91.2,Elite,0,0.000,0.000,0.000,0.000,0.000
ADMA,3.75B,90.8,Elite,0,0.000,0.000,0.000,0.000,0.000
ABNB,73.68B,90.3,Elite,0,0.000,0.000,0.000,0.000,0.000
HAS,10.99B,89.8,Elite,1,0.000,0.000,0.000,0.000,0.000
KLAC,150.72B,89.8,Elite,0,0.000,0.000,0.000,0.000,0.000
GOOG,3344.23B,89.2,Elite,0,0.000,0.000,0.000,0.000,0.000
GOOGL,3343.70B,89.2,Elite,0,0.000,0.000,0.000,0.000,0.000
SHW,82.53B,89.1,Elite,1,0.000,0.000,0.000,0.000,0.000
FAST,46.47B,88.8,Elite,0,0.000,0.000,0.000,0.000,0.000
COST,410.59B,88.5,Elite,0,0.000,0.000,0.000,0.000,0.000
APAM,2.98B,88.3,Elite,0,0.000,0.000,0.000,0.000,0.000
LRCX,187.74B,88.1,Elite,0,0.000,0.000,0.000,0.000,0.000
RHI,2.71B,87.9,Elite,0,0.000,0.000,0.000,0.000,0.000
GDDY,17.53B,87.8,Elite,1,0.000,0.000,0.000,0.000,0.000
IDXX,55.25B,87.5,Elite,0,0.000,0.000,0.000,0.000,0.000
CAKE,2.25B,87.4,Elite,1,0.000,0.000,0.000,0.000,0.000
NVDA,4600.37B,87.2,Elite,0,0.000,0.000,0.000,0.000,0.000
KR,44.07B,86.8,Elite,1,0.000,0.000,0.000,0.000,0.000
EME,27.87B,86.8,Elite,0,0.000,0.000,0.000,0.000,0.000
APP,190.32B,86.7,Elite,1,0.000,0.000,0.000,0.000,0.000
HNI,1.78B,86.3,Elite,0,0.000,0.000,0.000,0.000,0.000
XPEL,1.14B,86.2,Elite,0,0.000,0.000,0.000,0.000,0.000
RMD,35.88B,85.8,Elite,0,0.000,0.000,0.000,0.000,0.000
TPL,23.37B,85.4,Elite,0,0.000,0.000,0.000,0.000,0.000
ROST,52.42B,85.2,Elite,0,0.000,0.000,0.000,0.000,0.000
MOH,7.08B,84.9,Strong,0,0.000,0.000,0.000,0.000,0.000
PJT,6.61B,84.8,Strong,0,0.000,0.000,0.000,0.000,0.000
PHM,23.13B,84.7,Strong,0,0.000,0.000,0.000,0.000,0.000
CNR,4.22B,84.3,Strong,0,0.000,0.000,0.000,0.000,0.000
ODFL,27.81B,84.1,Strong,0,0.000,0.000,0.000,0.000,0.000
MC,4.69B,83.3,Strong,0,0.000,0.000,0.000,0.000,0.000
IDCC,8.99B,83.3,Strong,0,0.000,0.000,0.000,0.000,0.000
BOX,4.61B,83.0,Strong,1,0.000,0.000,0.000,0.000,0.000
GPC,17.68B,82.6,Strong,0,0.000,0.000,0.000,0.000,0.000
ADSK,63.63B,82.4,Strong,0,0.000,0.000,0.000,0.000,0.000
TT,92.96B,82.1,Strong,0,0.000,0.000,0.000,0.000,0.000
OXM,0.52B,81.9,Strong,0,0.000,0.000,0.000,0.000,0.000
UHS,14.21B,81.7,Strong,0,0.000,0.000,0.000,0.000,0.000
AAMI,1.56B,81.0,Strong,1,0.000,0.000,0.000,0.000,0.000
V,636.21B,80.4,Strong,0,0.000,0.000,0.000,0.000,0.000
MCO,86.25B,80.2,Strong,1,0.000,0.000,0.000,0.000,0.000
FDS,10.26B,79.6,Strong,0,0.000,0.000,0.000,0.000,0.000
SNA,17.18B,79.2,Strong,0,0.000,0.000,0.000,0.000,0.000
CNS,3.30B,78.5,Strong,0,0.000,0.000,0.000,0.000,0.000
AMZN,2522.44B,78.4,Strong,0,0.000,0.000,0.000,0.000,0.000
DXPE,1.41B,77.9,Strong,0,0.000,0.000,0.000,0.000,0.000
DXCM,22.99B,77.8,Strong,0,0.000,0.000,0.000,0.000,0.000
LQDT,0.71B,77.5,Strong,0,0.000,0.000,0.000,0.000,0.000
ACLS,2.51B,77.5,Strong,0,0.000,0.000,0.000,0.000,0.000
ANET,168.00B,77.5,Strong,0,0.000,0.000,0.000,0.000,0.000
ALGN,9.78B,77.4,Strong,0,0.000,0.000,0.000,0.000,0.000
NFLX,475.20B,77.2,Strong,0,0.000,0.000,0.000,0.000,0.000
ETD,0.57B,76.5,Strong,0,0.000,0.000,0.000,0.000,0.000
