short_delta,long_delta,profit_target,stop_loss,risk_pct,cagr_pct,sharpe,max_dd_pct,calmar,trades,win_rate_pct
0.12,0.08,0.6,0.5,15,7.961326662987145,0.8931743090246856,-19.40359077526856,0.41036043610850015,709,74.18899858956276
0.12,0.08,0.6,0.5,20,11.013178756584164,0.986392497274852,-25.29008025569684,0.43553601726834235,764,73.82198952879581
0.12,0.08,0.6,0.8,15,8.090481741173106,0.9108856616978857,-19.12573350113555,0.4230751418386984,713,74.05329593267882
0.12,0.08,0.6,0.8,20,11.190416976732621,1.000410735441849,-25.00212107202068,0.4476412826257282,776,72.68041237113401
0.12,0.08,0.8,0.5,15,8.511459503297814,0.9867099387918087,-16.35820150806045,0.5203875630365687,710,74.36619718309859
0.12,0.08,0.8,0.5,20,11.547479276199502,1.0596227789071635,-21.922396725122425,0.5268150655956446,774,73.64341085271317
0.12,0.08,0.8,0.8,15,8.61157098686165,0.9954558375783156,-16.170989672723067,0.5326029719135248,726,74.24242424242425
0.12,0.08,0.8,0.8,20,11.751550939963051,1.076962142517715,-21.303391097378782,0.5517019966589151,763,73.52555701179554
0.12,0.1,0.6,0.5,15,5.548750975821926,0.5748253354863068,-19.250762263750794,0.2882353903601121,572,74.47552447552448
0.12,0.1,0.6,0.5,20,7.58440797614528,0.6682476343754067,-25.10456076969459,0.30211275336475635,607,75.12355848434926
0.12,0.1,0.6,0.8,15,5.626310404317625,0.5918667541244395,-19.36173858388193,0.29058911109363705,587,74.44633730834754
0.12,0.1,0.6,0.8,20,7.662923321249093,0.6820255266320806,-25.341512158487276,0.30238619042639325,615,73.33333333333333
0.12,0.1,0.8,0.5,15,5.743512390248218,0.6119838409253064,-22.079490198755757,0.2601288498305944,548,72.62773722627736
0.12,0.1,0.8,0.5,20,7.804253691412799,0.6999593375861686,-28.735519182391734,0.2715890964724595,585,73.16239316239316
0.12,0.1,0.8,0.8,15,5.787560582717544,0.6242583046989247,-21.69679006878554,0.26674731904439253,546,73.26007326007326
0.12,0.1,0.8,0.8,20,7.80939391601243,0.7089318035130898,-28.298752484931853,0.27596247997754225,591,73.43485617597293
0.15,0.08,0.6,0.5,15,0.09841986963265992,-0.32046088653419214,-17.48431735076732,0.005629037019757631,591,69.7123519458545
0.15,0.08,0.6,0.5,20,0.3716073646789386,-0.1814351540681554,-25.25212827008031,0.014715882982395321,618,68.44660194174757
0.15,0.08,0.6,0.8,15,0.057110998841092275,-0.33019469932965606,-17.419753272826025,0.003278519388112269,591,69.54314720812182
0.15,0.08,0.6,0.8,20,0.4300161147711812,-0.1736959820414402,-25.25212827008031,0.017028905847935233,615,69.10569105691057
0.15,0.08,0.8,0.5,15,0.4841663188621448,-0.2590839717270673,-15.256325203070869,0.031735448243112266,566,67.49116607773851
0.15,0.08,0.8,0.5,20,0.7130960713362722,-0.14249963495732587,-21.38727649862402,0.03334207005656612,592,67.9054054054054
0.15,0.08,0.8,0.8,15,0.5266315318627868,-0.2525270582053383,-15.256325203070869,0.03451889789008848,569,67.66256590509666
0.15,0.08,0.8,0.8,20,0.7440670910674463,-0.1391930677345104,-21.38727649862402,0.03479017494889155,597,68.00670016750419
0.15,0.1,0.6,0.5,15,0.7340633768674554,-0.1787370289228098,-17.560273658991537,0.04180250212055133,613,70.47308319738988
0.15,0.1,0.6,0.5,20,0.34228338435144945,-0.15450856196339052,-26.15149290781274,0.013088483535454012,649,69.64560862865947
0.15,0.1,0.6,0.8,15,0.7571404125996439,-0.17593515077113706,-17.560273658991537,0.043116663629667235,612,70.42483660130719
0.15,0.1,0.6,0.8,20,0.3662989085399859,-0.15216226526056414,-25.726044848717894,0.014238446317496843,652,69.47852760736197
0.15,0.1,0.8,0.5,15,0.8343991014759133,-0.16618693322152922,-17.020815099985946,0.04902227634660119,593,68.97133220910624
0.15,0.1,0.8,0.5,20,0.6362729429315817,-0.12510543127877044,-25.48665667357506,0.024964943463584174,644,68.32298136645963
0.15,0.1,0.8,0.8,15,0.8370663315343974,-0.16623150252052155,-16.77101692051558,0.04991148333470669,594,68.68686868686868
0.15,0.1,0.8,0.8,20,0.6502309866654565,-0.12327528353138058,-24.916027631485484,0.026096896193989732,642,68.84735202492212
0.2,0.1,0.6,0.5,15,2.306533224793683,0.07522248914853293,-17.94037163622218,0.1285666357176637,716,68.85474860335195
0.2,0.1,0.6,0.5,20,2.3547491502455387,0.08313959505562578,-23.182511011136715,0.10157437859575841,725,68.41379310344827
